epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.405,1.57773,2.69544,1.95899,0.49159,0.35007,0.33637,0.1264,2.15005,2.58451,2.66111,0.000208044,0.000208044,0.000208044
2,741.225,1.56574,2.40892,1.94136,0.37535,0.3564,0.28927,0.11129,2.08997,3.02241,2.64359,0.000408133,0.000408133,0.000408133
3,1106.61,1.54687,2.33945,1.92975,0.51321,0.40711,0.4228,0.17908,2.03009,2.39355,2.60089,0.000599972,0.000599972,0.000599972
4,1471.58,1.50707,2.21094,1.88818,0.56038,0.47991,0.5001,0.23968,1.88839,1.94169,2.40305,0.000587875,0.000587875,0.000587875
5,1836.02,1.47207,2.08226,1.84395,0.6295,0.51165,0.5581,0.2704,1.83835,1.85313,2.34061,0.0005755,0.0005755,0.0005755
6,2200.75,1.43723,1.96624,1.82766,0.60275,0.53122,0.57305,0.27929,1.80807,1.84053,2.31468,0.000563125,0.000563125,0.000563125
7,2565.33,1.41303,1.89008,1.80979,0.68585,0.63241,0.65156,0.32657,1.76419,1.48477,2.29186,0.00055075,0.00055075,0.00055075
8,2929.72,1.39646,1.82234,1.7926,0.67385,0.59137,0.63422,0.33888,1.71353,1.5604,2.23384,0.000538375,0.000538375,0.000538375
9,3294.49,1.37294,1.75268,1.76172,0.74719,0.63128,0.6841,0.35311,1.71546,1.41684,2.20997,0.000526,0.000526,0.000526
10,3659.3,1.36543,1.68316,1.75604,0.73603,0.61263,0.6636,0.34906,1.68049,1.43736,2.18372,0.000513625,0.000513625,0.000513625
11,4023.27,1.34873,1.63562,1.73788,0.75695,0.64941,0.70178,0.37651,1.64579,1.29119,2.14311,0.00050125,0.00050125,0.00050125
12,4387.94,1.32855,1.58504,1.72349,0.75184,0.67666,0.70584,0.385,1.65056,1.26579,2.14278,0.000488875,0.000488875,0.000488875
13,4752.34,1.31913,1.52536,1.71112,0.77274,0.65658,0.70802,0.38492,1.64874,1.32608,2.13428,0.0004765,0.0004765,0.0004765
14,5117.05,1.30632,1.51227,1.70205,0.80253,0.65883,0.72605,0.40641,1.62278,1.20768,2.10548,0.000464125,0.000464125,0.000464125
15,5481.76,1.29948,1.4669,1.69193,0.80754,0.65858,0.72729,0.3993,1.62291,1.22944,2.12159,0.00045175,0.00045175,0.00045175
16,5846.29,1.2815,1.42439,1.68154,0.80984,0.65894,0.7257,0.40813,1.59031,1.25649,2.07655,0.000439375,0.000439375,0.000439375
17,6210.24,1.27042,1.39431,1.6716,0.79907,0.67277,0.73103,0.41314,1.60039,1.19265,2.0868,0.000427,0.000427,0.000427
18,6574.21,1.26746,1.36512,1.66435,0.79337,0.68532,0.74475,0.41067,1.60886,1.13321,2.10218,0.000414625,0.000414625,0.000414625
19,6938.06,1.24964,1.32518,1.65004,0.79675,0.68728,0.73615,0.41851,1.55033,1.13722,2.04012,0.00040225,0.00040225,0.00040225
20,7302.1,1.24151,1.31689,1.64227,0.83868,0.69617,0.75195,0.42511,1.57833,1.13451,2.07515,0.000389875,0.000389875,0.000389875
21,7666.84,1.22236,1.2825,1.63199,0.83554,0.72013,0.76135,0.43813,1.54759,1.05583,2.04646,0.0003775,0.0003775,0.0003775
22,8031.49,1.22288,1.25386,1.62751,0.80785,0.69362,0.75545,0.43287,1.56317,1.08633,2.06914,0.000365125,0.000365125,0.000365125
23,8395.23,1.20984,1.22815,1.61382,0.80581,0.70237,0.75359,0.43411,1.54619,1.07948,2.04919,0.00035275,0.00035275,0.00035275
24,8759.3,1.1968,1.20276,1.59912,0.83479,0.71067,0.7615,0.4429,1.53596,1.0581,2.0205,0.000340375,0.000340375,0.000340375
25,9123.17,1.18519,1.17541,1.59204,0.84396,0.70634,0.76514,0.42692,1.61606,1.07063,2.10609,0.000328,0.000328,0.000328
26,9486.64,1.17778,1.15317,1.58511,0.83214,0.71042,0.76649,0.44311,1.54154,1.04625,2.0443,0.000315625,0.000315625,0.000315625
27,9850.53,1.16253,1.13636,1.57131,0.81891,0.72266,0.76509,0.43349,1.57495,1.05899,2.07539,0.00030325,0.00030325,0.00030325
28,10213.8,1.15989,1.10982,1.57015,0.80606,0.7204,0.75904,0.43413,1.5744,1.05983,2.0859,0.000290875,0.000290875,0.000290875
29,10577.1,1.13964,1.09016,1.55157,0.83262,0.71326,0.75913,0.43343,1.57782,1.03155,2.08036,0.0002785,0.0002785,0.0002785
30,10940.2,1.14146,1.08006,1.55458,0.82044,0.71763,0.76283,0.42742,1.63274,1.06387,2.15974,0.000266125,0.000266125,0.000266125
31,11303.7,1.12332,1.05422,1.5378,0.83734,0.71009,0.75411,0.42812,1.59357,1.04169,2.12816,0.00025375,0.00025375,0.00025375
32,11667.2,1.11017,1.03196,1.5315,0.8124,0.72117,0.75747,0.42963,1.60123,1.03234,2.12643,0.000241375,0.000241375,0.000241375
33,12031.5,1.10058,1.008,1.51618,0.81406,0.72296,0.75984,0.42274,1.61515,1.03589,2.13527,0.000229,0.000229,0.000229
34,12395.8,1.09082,0.99444,1.50953,0.83624,0.72659,0.76574,0.43111,1.59236,1.00719,2.11693,0.000216625,0.000216625,0.000216625
